# command: /scratch/shared/beegfs/angelyhe/AIMS-MP2/chamfer_eval.py /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/fly/unnormed/objs /scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/output_videos/rdmeshdit/f/rdmesh/meshes/fly/from_unnormed_gt/aligned_objs --export /scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/chamfer_results/unnormed/fly.csv
frame,chamfer_squared
0,116.48851229464896
1,115.9067609838399
2,107.55828195514452
3,116.07829758148846
4,138.01010646953918
5,157.47559594027632
6,173.74592883228098
7,196.71518173375148
8,207.5897047659572
9,199.9572012047227
10,172.89263007046793
11,145.68147203473612
12,117.73227615989961
13,124.83742673057999
14,122.31443453604442
15,120.143092540367
16,123.2017604337498
17,124.21973359664635
18,125.47647805757857
19,129.3199421313579
20,131.3461168889358
21,133.05548238592803
22,136.07247349888772
23,134.76726744371177
24,139.45149602632176
25,138.53514447179793
26,138.95754247329668
27,136.50381418311474
28,139.09234165264348
29,141.50079343126652
30,141.31760482894458
31,138.78397591847204
32,142.23825679455797
33,141.74399754780424
34,137.00167479141967
35,135.81487924593085
36,135.74417385430982
37,133.02989614247807
38,129.29207685870176
39,132.07010711522344
40,129.97056672811397
41,129.49872888291358
42,127.60420534359585
43,127.92567712939739
44,125.82495569562175
45,126.09378504992019
46,127.54077283957213
47,127.14621710925225
48,126.29041359234287
49,127.69591810466271
50,126.12301534941348
51,123.10595026384246
52,124.74725535239659
53,122.83671934249466
54,120.38786810813417
55,128.85805248584109
56,124.49304229445467
57,124.61103212819444
58,127.2618996604717
59,131.01591972405004
60,130.63448659440945
61,132.68993396733606
62,138.23812457178136
63,148.81187289390542
64,158.3500291525095
65,158.56621292306016
66,160.17125756292373
67,161.70280500515443
68,158.4011777124304
69,157.91400189048304
70,162.30727420241456
71,156.69995293541444
72,158.11520005742346
73,157.57845271877702
74,160.0821468850851
75,161.50649524144117
76,160.50286207261823
77,157.79873155077547
78,160.43709445552548
79,161.3259676090336
80,161.1079723404505
81,158.02553318143447
82,162.5648148401585
83,157.74765715218527
84,157.9656187469196
85,161.41439720472798
86,156.0388569972926
87,161.0973314891148
88,158.97343416051558
89,159.96806141800707
90,160.83442733880466
91,158.21043986124428
92,160.45465583738473
93,160.70498196676138
94,157.32840699493175
95,160.91746563583294
96,157.43212570231816
97,159.35762431190292
98,156.30940710413194
99,160.03901497939526
100,160.6630922312379
101,159.19879051785023
102,159.4970352206114
103,160.11465759445156
104,157.40875470880337
105,158.60122130076556
106,162.20726539480685
107,158.87157120736367
108,160.94836577405655
109,158.81734679065963
110,161.1246266206818
111,161.16106056972384
112,161.1840051147122
113,163.5024933891267
114,161.02089737212998
115,160.10099056976586
116,162.95732607270028
117,157.92386162499787
118,158.4238207458639
119,160.6939636652659
120,160.37606991635633
121,159.4593331405951
122,159.53317160884384
123,161.85326524014164
124,158.61257951044257
125,163.36306485716574
126,157.93340680831858
127,159.91420968808532
128,160.69462477315648
129,158.4139823802835
130,159.754084291474
131,156.4394389099289
132,159.799039569822
133,159.62205099853375
134,158.47359352971705
135,161.36150432947485
136,161.01680280444796
137,158.98509819200268
138,160.8940885816646
139,160.61201219841968
140,161.24282529568993
141,158.16612562664665
142,160.0225890428462
143,161.0229493814873
144,160.3156565300863
145,157.39339722401303
146,162.0465768353853
147,159.62476349474852
148,158.92016686943873
149,159.71267224196453
150,158.70688733855388
151,159.78691388595325
152,159.13588261252357
153,163.4745544195823
154,157.6561352608989
155,158.40760133818796
156,158.34287651497633
157,159.91535640819043
158,158.13282862419982
159,159.59202536082114
160,152.7881049164212
161,158.0047372296595
162,160.33419539225105
163,158.67885458534624
164,162.03046734593096
165,157.93414685234984
166,156.96800781735638
167,156.84954113293733
168,155.95298033789098
169,163.1291298256426
170,160.44639372229852
171,158.7337996055566
172,164.43998085414145
173,160.82255422357403
174,160.86736308620834
175,156.7583478659794
176,158.51135268259713
177,158.87633655412614
178,159.47503343341057
179,158.7988003566024
180,156.24900073285198
181,159.48509832127755
182,160.70616458713488
183,158.82312030127989
184,160.83609536645864
185,161.62200679404623
186,162.149555927312
187,161.14260075990913
188,160.83133331778546
189,160.96039359749713
190,161.174473770439
191,159.26104630702645
192,156.40789218118223
193,161.60438397822153
194,160.530962708336
195,158.81263168757508
196,158.42430592466067
197,159.36482767002295
198,159.32334441987737
199,157.5366325726664
200,155.24762519090666
201,162.1918145672453
202,162.05457070731035
203,160.94287029195317
204,162.5333809466528
205,162.02624405556185
206,158.477526993239
207,160.72913032681382
208,160.80613833619145
209,162.19230354139756
210,159.59318971458273
211,157.92925907149584
212,158.66257364613034
213,157.74017742270772
214,156.55587017166565
215,159.11350023570384
216,158.9424048265792
217,158.52132673093126
218,160.28570478748293
219,160.67911353945695
220,158.73609852468945
221,160.72931652723844
222,162.42016438492033
223,157.81261339248132
224,162.1808105007202
225,159.5324165278353
226,163.73713803352607
227,160.28491703861263
228,158.39541786304378
229,159.7218793519734
230,161.53303028156586
231,158.13370818356864
232,161.20035700971718
233,157.83905901726283
234,157.7724131961706
235,159.4894287462147
236,160.01447097557138
237,158.74772052419578
238,157.77613786116498
239,161.67145633998186
240,161.94971938394394
241,157.3893735601086
242,159.12139396379354
243,160.30159133117215
244,159.1785346596279
245,159.51524940043242
246,163.23294667384147
247,157.9038759239565
248,162.13969411870087
249,160.43168157522547
