# command: /scratch/shared/beegfs/angelyhe/AIMS-MP2/chamfer_eval.py /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/idle2/unnormed/objs /scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/output_videos/rdmeshdit/f/rdmesh/meshes/idle2/from_unnormed_gt/aligned_objs --export /scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/chamfer_results/unnormed/idle2.csv
frame,chamfer_squared
0,17.476405681848107
1,17.208980015749447
2,17.248680255021753
3,16.550556108347713
4,16.50554461521797
5,16.908341163829
6,16.822063879683537
7,17.973552100003694
8,20.568864303420327
9,25.614993311468105
10,34.34708076495177
11,44.600641838016365
12,68.03157211543494
13,93.57655764579076
14,126.36640262580156
15,168.64013487757137
16,209.46682601113514
17,248.41621812456498
18,259.9001383254083
19,262.6060586073968
20,263.95660545924704
21,280.6831806498667
22,281.08676222344593
23,286.8678948279725
24,287.25292028212994
25,287.8162902022349
26,280.1944266969729
27,295.6059740812698
28,289.5620657765648
29,287.29031548718467
30,292.145073113184
31,287.97087666495105
32,292.1458630930368
33,284.2751929531098
34,282.0553717502022
35,276.59380028128476
36,270.7451973816664
37,286.5796747126708
38,282.7495513271081
39,275.5764783312069
40,273.53108867280935
41,278.10987391104794
42,272.2307450470101
43,270.6734062373621
44,270.07521202472157
45,270.0351066621644
46,265.2846020223641
47,258.46759178689865
48,255.86683117148203
49,255.05554916948108
50,245.85566620952648
51,257.21594169336777
52,255.605693312523
53,243.5065971438169
54,246.55638768521993
55,242.66997739557667
56,253.17850646200102
57,238.55175935522544
58,237.9957459657308
59,230.315545682282
60,231.1025576558215
61,248.8082890791909
62,238.20992429991816
63,231.82226173489096
64,242.15659670782688
65,231.36854850791144
66,228.34886327233323
67,229.56520629940758
68,239.96326126337559
69,232.29822649888695
70,237.49071260302117
71,237.8494745631479
72,229.1950710595451
73,232.5747387012731
74,231.75995420944642
75,236.83782126965346
76,243.30391506649448
77,232.74913465725763
78,237.21292618687687
79,236.40228707057958
80,240.0905763545802
81,231.59386025191105
82,235.25128423812163
83,241.17866411225708
84,240.18202752491027
85,245.11132694141082
86,238.87383586336642
87,235.45050086014405
88,230.92699501291904
89,238.34621731491129
90,237.50330015094167
91,233.42476989121135
92,241.1565417159329
93,247.17645381284086
94,245.49818148515087
95,240.70641197218777
96,237.8330195938007
97,238.4445735063162
98,243.3123191006162
99,241.0113546477575
100,241.8342835038157
101,248.71838609726558
102,246.31821630268357
103,244.1663894934578
104,244.58962357336867
105,246.3112019449676
106,250.98107156596075
107,244.18113769565844
108,238.4089013061967
109,246.91962132657602
110,244.21922874889782
111,233.90981156860792
112,245.69451946219414
113,236.7362115217511
114,231.1874916582148
115,245.12814786109277
116,246.08818312778686
117,250.39795130425568
118,241.73738352634794
119,235.23088904278507
120,244.71300479615078
121,253.32405819834634
122,238.01423493453842
123,231.95634268946776
124,242.80238826007582
125,232.35991844454588
126,224.14915768812796
127,229.41299410596716
128,213.4084283928271
129,190.0464474727807
130,149.447831092247
131,116.50436090014526
132,74.45924898874657
133,53.93374656742439
134,40.08969251820938
135,29.748877562979274
136,24.53050511886964
137,21.891470946459577
138,18.265579618697178
139,17.004734955693912
140,16.80848039429575
141,16.4492400417119
142,16.309230301202327
143,16.865231075078647
144,17.11447523966143
145,17.865939106834382
146,17.512806458900823
147,17.426093041559575
148,17.82122995540604
149,17.984506759442212
150,17.529190084090573
151,17.10636135289851
152,17.36640382168008
153,17.49879838369423
154,17.696275949311364
155,17.56810510955936
156,17.688549224881342
157,17.614913373534215
158,17.453325240971974
159,17.70752168459925
160,17.443055689660127
161,17.78081149048988
162,17.716561354899866
163,17.335472226609845
164,17.590089514474343
165,18.013359432908686
166,17.810582863379302
167,18.020019817259488
168,17.898460903489173
169,18.140829461741625
170,17.983575292690084
171,17.705454987932313
172,17.13365739600802
173,17.549160342066045
174,16.93810284781545
175,16.656239208585568
176,16.643045209534954
177,16.850163350278983
178,17.071875748338993
179,17.099147991162937
180,17.20359527348759
181,17.442327396527418
182,17.604321363727465
183,17.539302670424597
184,17.735256957737207
185,18.21248104081794
186,17.85421718940897
187,18.529798668439007
188,17.914727065731782
189,17.99606856084454
190,18.331910057793728
191,18.139390654333525
192,18.470777666325276
193,18.54858945385861
194,18.236183628935514
195,18.280450596259584
196,18.16042828081269
197,17.65544002042471
198,17.921823232194924
199,18.05130594469943
200,17.9581567196415
201,17.632949147632317
202,17.141555010671922
203,16.913940949901868
204,16.78773452364358
205,16.365688513390833
206,15.860008010677152
207,15.46032813809257
208,14.903812532088782
209,14.872696428603831
210,14.64540439129081
211,14.269914514693651
212,14.2009243742944
213,13.984797470551824
214,14.222582877034874
215,14.540130705773155
216,14.111131413911302
217,14.380259957309693
218,13.964349116037443
219,14.167208094904035
220,14.049100720878418
221,14.191418459049288
222,14.51022436141534
223,14.4161871530427
224,14.742011793399259
225,14.723675611606565
226,15.260670553992357
227,14.845306278973137
228,15.204076731306234
229,15.13676750523869
230,15.309477701766465
231,14.932451337424478
232,14.836926034747995
233,14.710148795510744
234,14.63575706171023
235,14.808620206195268
236,14.834696871656249
237,14.87319290357987
238,14.848863406847778
239,14.9483440131209
240,14.81102310337654
241,15.142148982020835
242,14.817588772092272
243,14.986743514015277
244,14.87811695821198
245,15.001206631754995
246,14.970659844147903
247,14.990471957782546
248,15.019317648597529
249,15.126739527151786
