# command: /scratch/shared/beegfs/angelyhe/AIMS-MP2/chamfer_eval.py /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/sprint/unnormed/objs /scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/output_videos/rdmeshdit/f/rdmesh/meshes/sprint/from_unnormed_gt/aligned_objs --export /scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/chamfer_results/unnormed/sprint.csv
frame,chamfer_squared
0,397.6526335695636
1,400.3142578383381
2,318.50350219523335
3,409.51653683054667
4,498.9976494818652
5,556.6380034600548
6,544.3561630534505
7,610.6804209500317
8,660.7628333528103
9,765.8234737932896
10,844.1028668949523
11,839.4798470575079
12,625.3619753263256
13,480.733038167509
14,286.24575104266
15,281.42059233836454
16,280.84613027520993
17,282.4028975339652
18,286.15086509328745
19,286.7266029814251
20,278.0316841043761
21,277.23362358034586
22,268.1157802982695
23,267.16310422336534
24,259.6544001741123
25,262.7722914656659
26,259.5495199011516
27,261.4459357124288
28,258.71840950599596
29,256.4256136827306
30,248.33962984967496
31,256.6879653894749
32,250.003892722314
33,250.4862943828458
34,248.02191394605254
35,242.3819663232978
36,246.63153509609873
37,255.2234706021991
38,253.22608575361124
39,258.0612788571261
40,261.22062424545993
41,263.46110787330156
42,262.3527617849119
43,269.28907061555344
44,266.5890202836072
45,271.39613097373217
46,270.3102812876051
47,272.4444301207375
48,268.0678125410958
49,274.0759383439835
50,280.59177303128615
51,283.06864921224303
52,286.3343814344877
53,286.6252686880131
54,295.29367353642
55,291.9349286563353
56,291.04088783994536
57,300.7704287284244
58,294.8848974839966
59,291.63705812864976
60,298.2158575681514
61,291.4380192179967
62,296.7276927017442
63,295.6801030621524
64,299.1955632684719
65,294.68347849155407
66,293.50452638997405
67,299.35414632213394
68,297.0656837340098
69,297.594252089667
70,290.7999388747981
71,300.0697316771917
72,293.41425151524123
73,299.06803322790256
74,298.6199274680356
75,295.6985841655707
76,295.30961026852657
77,298.1581713622475
78,293.9316056423979
79,298.4275412070893
80,297.5862324979943
81,298.82452156500835
82,291.73046087738777
83,292.7804680432593
84,295.15905802468063
85,294.1333824525246
86,296.44593646237445
87,294.1147559512516
88,293.61575045208946
89,295.1675469909285
90,294.6277442255194
91,301.2586607456849
92,297.27350972607917
93,297.6771480224032
94,290.43958742218047
95,292.40594209291316
96,297.4137287954637
97,295.640913352911
98,298.12750570552424
99,294.1586630112258
100,291.00959683876107
101,298.3946002828578
102,297.1341286195157
103,293.41092259799063
104,296.89762032613953
105,297.63599153946643
106,295.12728928215904
107,295.447976996491
108,297.91818900405366
109,298.34147552013974
110,296.71916673383305
111,295.51622662757615
112,298.17505938757154
113,298.70206772356795
114,291.32552854910114
115,291.399143964424
116,298.38813660222087
117,292.71026227613163
118,300.7721664969065
119,292.1567808182577
120,296.04370690248425
121,292.0113375349117
122,294.5086553826559
123,293.38781760973035
124,294.64747687828384
125,294.89892761770756
126,292.3236337653305
127,291.3858879382251
128,294.8021186118238
129,295.70083266558186
130,298.3899675840176
131,295.2712828966951
132,294.1503097916525
133,293.5531691093647
134,294.96719918033085
135,293.16097598584156
136,292.88594441766116
137,299.4263920911857
138,292.5859127859343
139,298.0367185965354
140,294.1351961419979
141,293.47702611858193
142,296.67175294756163
143,293.7753407392528
144,292.93503447457334
145,291.3466169076891
146,291.0327364880261
147,296.9942344521439
148,294.40310291957235
149,296.32491230715254
150,295.3191117538031
151,298.6674654729141
152,299.2188300836303
153,296.2235939185039
154,291.82231686012415
155,294.5283335679453
156,299.7885626052066
157,295.8343500078861
158,290.3807279781513
159,292.73187496837113
160,292.2515737129349
161,297.1848693345113
162,296.2613216721742
163,292.42148662077494
164,295.636514080583
165,293.3668447251381
166,298.1477919390899
167,299.74644024721067
168,294.3302393684838
169,300.9336349633046
170,294.9619996012123
171,294.77184880885693
172,295.52448830778917
173,297.87164332667305
174,291.802670479985
175,294.2619046646607
176,294.60340491851065
177,290.93527943468484
178,295.69123857410386
179,297.8167070889982
180,293.9761564211442
181,297.0884920110347
182,294.39777168751726
183,296.7340407258223
184,296.3130710771947
185,292.5241138397499
186,298.3024105527537
187,297.3621710370693
188,298.5847437002749
189,296.25606340295326
190,296.1656686371474
191,302.610469712417
192,293.9817304359544
193,295.5934093065119
194,295.01545211281143
195,297.87732004446246
196,298.2949003373121
197,292.4138218879077
198,292.1096909047203
199,301.5313012846872
200,296.019363870882
201,290.4314428814807
202,300.7951870173096
203,295.7948603982553
204,295.06152885389423
205,296.3737568278042
206,296.0138756575925
207,297.29828188809984
208,296.51326906116475
209,293.70481274121596
210,296.6641195613838
211,301.23468973537933
212,295.1384310047036
213,297.9245992322411
214,295.6269778749793
215,297.4127147662824
216,292.8000298516799
217,297.46620130534853
218,299.482973353793
219,296.9698697556195
220,295.7423716078441
221,295.5086972937337
222,296.0456699925776
223,298.71325459308457
224,294.86360694739847
225,302.08591701380925
226,293.0411788676905
227,296.14589420296124
228,297.8625268713669
229,297.13188466892393
230,295.9136883009605
231,294.3661632298579
232,291.0671481026633
233,295.9278834153361
234,297.3513734779433
235,296.10522557192365
236,294.9589086127589
237,297.9359020523933
238,294.6387618971517
239,296.0546218938602
240,294.77221600495295
241,293.3514789746221
242,294.41401002982764
243,298.0675081746921
244,291.0951545151688
245,293.857504102999
246,298.2054113912363
247,292.5975243736001
248,294.5249543977533
249,299.0307283520681
