# command: /scratch/shared/beegfs/angelyhe/AIMS-MP2/chamfer_eval.py '/scratch/shared/beegfs/angelyhe/AIMS-MP2/data/stand to lying/unnormed/objs' '/scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/output_videos/rdmeshdit/f/rdmesh/meshes/stand to lying/from_unnormed_gt/aligned_objs' --export '/scratch/shared/beegfs/angelyhe/AIMS-MP2/R-DMesh/chamfer_results/unnormed/stand to lying.csv'
frame,chamfer_squared
0,44.69650434583024
1,44.19634038268123
2,46.14138523070001
3,49.13166027675058
4,54.58773662113143
5,62.76451093452768
6,73.15129047801949
7,93.7257667586998
8,112.88115187617291
9,139.7290908482729
10,172.5894577234851
11,212.12553502139485
12,261.78727555479253
13,305.44226496340303
14,350.45481146315944
15,392.42474511909046
16,450.629368528565
17,500.7875174780727
18,557.0490383152325
19,614.320373589311
20,675.4136330652645
21,737.7022793366142
22,809.4542392882122
23,918.2630290927565
24,1048.272008315827
25,1226.1120561174043
26,1443.587388813944
27,1655.2990227443936
28,1885.2429681407705
29,1992.7010838477356
30,2095.4311225842584
31,2175.7138678563324
32,2280.5751611495434
33,2327.677361920586
34,2524.9796606912764
35,2704.9629623603523
36,2796.3048452612693
37,2879.518017052318
38,2962.159771159856
39,3031.650605613296
40,3169.487495016595
41,3206.277540981104
42,3292.3695337209874
43,3474.1691114315663
44,3539.8468728486478
45,3681.950250145868
46,3791.274412466035
47,3915.658428348266
48,4104.727614866336
49,4124.554099571274
50,4234.446285806569
51,4275.022014267186
52,4405.930723776723
53,4301.793758432272
54,4340.813486033168
55,4410.789450453145
56,4394.847177722499
57,4380.996647195993
58,4422.251745415621
59,4493.711575156143
60,4447.282966944007
61,4443.166822564105
62,4430.124663824978
63,4416.28124831133
64,4350.132234513771
65,4435.4100765710655
66,4438.595903098989
67,4481.552358091942
68,4444.1481916490675
69,4437.008860862392
70,4434.026586296424
71,4448.176584149657
72,4439.147867105178
73,4458.265010801095
74,4425.709418578408
75,4516.011816907792
76,4444.766722427725
77,4475.007159534345
78,4449.269128263254
79,4451.802953319345
80,4550.444379246706
81,4503.132422501487
82,4506.027083223041
83,4476.9466267804255
84,4513.954189585156
85,4494.397031210278
86,4470.874903579513
87,4511.682818397512
88,4470.669748958209
89,4488.753895125901
90,4515.528305121711
91,4461.557507616737
92,4538.1008005786625
93,4537.3792200891785
94,4430.377113692022
95,4509.369013086781
96,4527.210848654319
97,4478.702397040637
98,4491.467657451149
99,4537.268055756071
100,4518.684334468375
101,4494.457502708406
102,4519.151253674669
103,4546.840688999717
104,4533.761093528045
105,4521.676001109169
106,4508.514237599335
107,4456.354054686911
108,4447.869593571539
109,4468.114333312382
110,4432.725267068774
111,4500.7397244075655
112,4460.917471855915
113,4511.758783899325
114,4471.023470933058
115,4468.714025177099
116,4511.262447150483
117,4506.759467664716
118,4521.624957505093
119,4490.926148932827
120,4500.06940914074
121,4497.753600594993
122,4537.943699834111
123,4520.351358588605
124,4465.151614902572
125,4501.756201992807
126,4506.501788818634
127,4457.789723080929
128,4482.805649224107
129,4481.805688467129
130,4538.288050414281
131,4453.808222473729
132,4519.573249621009
133,4534.334031747316
134,4486.819977784525
135,4540.7480856969105
136,4463.688527487136
137,4541.8303557998715
138,4545.308833297716
139,4472.562416457047
140,4490.548993172833
141,4539.405982955156
142,4470.952761945714
143,4493.718328307947
144,4511.568582580964
145,4512.252927658683
146,4533.354431934952
147,4457.997964006458
148,4478.688262249632
149,4499.946219785543
150,4497.789871131139
151,4503.001325957569
152,4584.8668315727355
153,4541.32503087813
154,4446.993804572792
155,4439.614969881804
156,4460.850544373766
157,4502.037290074766
158,4517.078355283007
159,4500.013086277102
160,4472.249919924456
161,4518.747688968657
162,4510.4972011594
163,4536.238452612959
164,4497.215413504186
165,4501.0612091355815
166,4490.144597140091
167,4531.508869293322
168,4515.887386466472
169,4525.8906275724075
170,4504.928409350543
171,4499.425538666421
172,4456.938286357494
173,4462.066934380444
174,4560.093786144171
175,4472.956448321741
176,4531.273487619569
177,4474.10059647052
178,4499.197825195549
179,4461.832441797151
180,4468.301541367319
181,4430.761522740042
182,4512.387229057826
183,4475.946328622908
184,4420.613476629984
185,4502.407999777004
186,4477.407809743858
187,4476.491808482042
188,4483.11074577601
189,4503.292585815888
190,4537.986392413015
191,4472.361622597433
192,4518.701808369009
193,4520.612360152315
194,4513.673930985303
195,4518.114787263206
196,4532.050840137018
197,4513.392333112286
198,4531.351114089812
199,4496.469980486057
200,4449.115385369956
201,4559.930796045386
202,4487.566557058002
203,4549.951738774813
204,4511.493015505677
205,4519.918875081759
206,4472.985920583248
207,4469.08788983312
208,4490.380629153476
209,4505.478396321663
210,4471.132779649178
211,4509.834340056262
212,4497.562123046706
213,4460.245137016817
214,4522.647531021498
215,4522.953359295514
216,4475.621185464924
217,4530.2240923427335
218,4509.69500791236
219,4532.682868965778
220,4535.875750053573
221,4494.520707973417
222,4468.511664675861
223,4517.176234889631
224,4500.534621064307
225,4477.637911898805
226,4463.914641948988
227,4511.160510521042
228,4527.5213146741
229,4477.64444618569
230,4472.643481205526
231,4493.77604879043
232,4512.133216559911
233,4425.491134879624
234,4435.364899256253
235,4546.781085780849
236,4538.331367887647
237,4518.8893700604185
238,4521.420974622839
239,4541.686502901073
240,4552.652201792735
241,4512.746330428116
242,4514.3306493011005
243,4471.327073093688
244,4570.173027762946
245,4575.801306952003
246,4500.467969340709
247,4495.109470380176
248,4451.363115245776
249,4439.864420506193
